Name,Low-rise Office - Lighting
Category,Lights
Library,Trane
Standard,General
Library Units Filter,Both
Version,1.17.001
Description,Standard Library by Trane
Profile Name,Sunday
Units,%
Timestep,1:00
Time,Value
12:00 AM,5
1:00 AM,5
2:00 AM,5
3:00 AM,5
4:00 AM,5
5:00 AM,5
6:00 AM,5
7:00 AM,5
8:00 AM,5
9:00 AM,5
10:00 AM,5
11:00 AM,5
12:00 PM,5
1:00 PM,5
2:00 PM,5
3:00 PM,5
4:00 PM,5
5:00 PM,5
6:00 PM,5
7:00 PM,5
8:00 PM,5
9:00 PM,5
10:00 PM,5
11:00 PM,5
Profile Name,Weekday
Units,%
Timestep,1:00
Time,Value
12:00 AM,5
1:00 AM,5
2:00 AM,5
3:00 AM,5
4:00 AM,5
5:00 AM,10
6:00 AM,10
7:00 AM,20
8:00 AM,40
9:00 AM,70
10:00 AM,80
11:00 AM,85
12:00 PM,85
1:00 PM,85
2:00 PM,85
3:00 PM,85
4:00 PM,85
5:00 PM,80
6:00 PM,35
7:00 PM,10
8:00 PM,10
9:00 PM,10
10:00 PM,10
11:00 PM,10
Profile Name,Saturday
Units,%
Timestep,1:00
Time,Value
12:00 AM,5
1:00 AM,5
2:00 AM,5
3:00 AM,5
4:00 AM,5
5:00 AM,5
6:00 AM,10
7:00 AM,10
8:00 AM,30
9:00 AM,30
10:00 AM,30
11:00 AM,30
12:00 PM,15
1:00 PM,15
2:00 PM,15
3:00 PM,15
4:00 PM,15
5:00 PM,15
6:00 PM,5
7:00 PM,5
8:00 PM,5
9:00 PM,5
10:00 PM,5
11:00 PM,5
Profile Name,Cooling
Units,%
Timestep,1:00
Time,Value
12:00 AM,100
1:00 AM,100
2:00 AM,100
3:00 AM,100
4:00 AM,100
5:00 AM,100
6:00 AM,100
7:00 AM,100
8:00 AM,100
9:00 AM,100
10:00 AM,100
11:00 AM,100
12:00 PM,100
1:00 PM,100
2:00 PM,100
3:00 PM,100
4:00 PM,100
5:00 PM,100
6:00 PM,100
7:00 PM,100
8:00 PM,100
9:00 PM,100
10:00 PM,100
11:00 PM,100
Profile Name,Heating
Units,%
Timestep,1:00
Time,Value
12:00 AM,0
1:00 AM,0
2:00 AM,0
3:00 AM,0
4:00 AM,0
5:00 AM,0
6:00 AM,0
7:00 AM,0
8:00 AM,0
9:00 AM,0
10:00 AM,0
11:00 AM,0
12:00 PM,0
1:00 PM,0
2:00 PM,0
3:00 PM,0
4:00 PM,0
5:00 PM,0
6:00 PM,0
7:00 PM,0
8:00 PM,0
9:00 PM,0
10:00 PM,0
11:00 PM,0
