Name,Low-rise Office - Plug Loads
Category,Miscellaneious Loads and Utilities
Library,Trane
Standard,General
Library Units Filter,Both
Version,1.17.001
Description,Standard Library by Trane
Profile Name,Sunday
Units,%
Timestep,1:00
Time,Value
12:00 AM,30
1:00 AM,30
2:00 AM,30
3:00 AM,30
4:00 AM,30
5:00 AM,30
6:00 AM,30
7:00 AM,30
8:00 AM,30
9:00 AM,30
10:00 AM,30
11:00 AM,30
12:00 PM,30
1:00 PM,30
2:00 PM,30
3:00 PM,30
4:00 PM,30
5:00 PM,30
6:00 PM,30
7:00 PM,30
8:00 PM,30
9:00 PM,30
10:00 PM,30
11:00 PM,30
Profile Name,Weekday
Units,%
Timestep,1:00
Time,Value
12:00 AM,15
1:00 AM,15
2:00 AM,15
3:00 AM,15
4:00 AM,15
5:00 AM,15
6:00 AM,20
7:00 AM,35
8:00 AM,60
9:00 AM,70
10:00 AM,70
11:00 AM,70
12:00 PM,70
1:00 PM,70
2:00 PM,70
3:00 PM,70
4:00 PM,65
5:00 PM,45
6:00 PM,30
7:00 PM,20
8:00 PM,20
9:00 PM,15
10:00 PM,15
11:00 PM,15
Profile Name,Saturday
Units,%
Timestep,1:00
Time,Value
12:00 AM,30
1:00 AM,30
2:00 AM,30
3:00 AM,30
4:00 AM,30
5:00 AM,30
6:00 AM,30
7:00 AM,40
8:00 AM,40
9:00 AM,50
10:00 AM,50
11:00 AM,50
12:00 PM,50
1:00 PM,35
2:00 PM,35
3:00 PM,35
4:00 PM,35
5:00 PM,30
6:00 PM,30
7:00 PM,30
8:00 PM,30
9:00 PM,30
10:00 PM,30
11:00 PM,30
Profile Name,Cooling
Units,%
Timestep,1:00
Time,Value
12:00 AM,100
1:00 AM,100
2:00 AM,100
3:00 AM,100
4:00 AM,100
5:00 AM,100
6:00 AM,100
7:00 AM,100
8:00 AM,100
9:00 AM,100
10:00 AM,100
11:00 AM,100
12:00 PM,100
1:00 PM,100
2:00 PM,100
3:00 PM,100
4:00 PM,100
5:00 PM,100
6:00 PM,100
7:00 PM,100
8:00 PM,100
9:00 PM,100
10:00 PM,100
11:00 PM,100
Profile Name,Heating
Units,%
Timestep,1:00
Time,Value
12:00 AM,0
1:00 AM,0
2:00 AM,0
3:00 AM,0
4:00 AM,0
5:00 AM,0
6:00 AM,0
7:00 AM,0
8:00 AM,0
9:00 AM,0
10:00 AM,0
11:00 AM,0
12:00 PM,0
1:00 PM,0
2:00 PM,0
3:00 PM,0
4:00 PM,0
5:00 PM,0
6:00 PM,0
7:00 PM,0
8:00 PM,0
9:00 PM,0
10:00 PM,0
11:00 PM,0
